Angle: 218.379990813613, Azimuth: 231.62
Angle: 217.97999241997215, Azimuth: 232.02
Angle: 217.57997650775496, Azimuth: 232.42
Angle: 217.17997511189424, Azimuth: 232.82
Angle: 216.78001518883588, Azimuth: 233.22
Angle: 216.37997559936892, Azimuth: 233.62
Angle: 215.97999081252408, Azimuth: 234.02
Angle: 215.58000776083122, Azimuth: 234.42
Angle: 215.17997593657935, Azimuth: 234.82
Angle: 214.80002888032266, Azimuth: 235.2
Angle: 214.38999084798473, Azimuth: 235.61
Angle: 214.00001589371814, Azimuth: 236.0
Angle: 213.60003654967133, Azimuth: 236.4
Angle: 213.1899934227091, Azimuth: 236.81
Angle: 212.79999477944398, Azimuth: 237.2
Angle: 212.4099991265442, Azimuth: 237.59
Angle: 212.0100112717643, Azimuth: 237.99
Angle: 211.61001257555617, Azimuth: 238.39
Angle: 211.209997486013, Azimuth: 238.79
Angle: 210.809926823012, Azimuth: 239.19
Angle: 210.41002005186567, Azimuth: 239.59
Angle: 209.99999182215416, Azimuth: 240.0
Angle: 209.6199736292736, Azimuth: 240.38
Angle: 209.21999218950765, Azimuth: 240.78
Angle: 208.8300098375182, Azimuth: 241.17
Angle: 208.4300645251788, Azimuth: 241.57
Angle: 208.01996644511775, Azimuth: 241.98
Angle: 207.6299760045074, Azimuth: 242.37
Angle: 207.2300277553128, Azimuth: 242.77
Angle: 206.83001364106033, Azimuth: 243.17
Angle: 0.0, Azimuth: 243.56
Angle: 0.0, Azimuth: 243.96
Angle: 0.0, Azimuth: 244.36
Angle: 0.0, Azimuth: 244.76
Angle: 0.0, Azimuth: 245.15
Angle: 0.0, Azimuth: 245.56
Angle: 0.0, Azimuth: 245.96
Angle: 0.0, Azimuth: 246.36
Angle: 0.0, Azimuth: 246.74
Angle: 202.84003368029602, Azimuth: 247.16
Angle: 202.4399934566237, Azimuth: 247.56
Angle: 202.05002090309966, Azimuth: 247.95
Angle: 201.64996626217157, Azimuth: 248.35
